"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M"
"1400000US10003011100","Census Tract 111, New Castle County, Delaware","2271","180","56","31","542","146","551","108","526","76","596","107","2130","182","49","27","502","132","512","108","511","77","556","110","85","28","7","11","17","22","17","20","12","9","32","25","2","4","0","11","0","11","0","11","0","11","2","4","53","40","0","11","23","32","21","24","3","4","6","5","1","2","0","11","0","11","1","2","0","11","0","11"
"1400000US10003011202","Census Tract 112.02, New Castle County, Delaware","3160","195","142","74","821","148","822","197","792","142","583","132","2788","160","142","74","750","140","643","138","722","129","531","128","234","138","0","11","13","21","141","124","42","42","38","34","14","23","0","11","14","23","0","11","0","11","0","11","124","78","0","11","44","34","38","28","28","43","14","22","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003011800","Census Tract 118, New Castle County, Delaware","3254","253","53","33","253","115","487","142","1160","162","1301","236","2559","250","25","20","175","105","414","131","903","159","1042","206","300","136","10","13","25","17","31","31","87","50","147","101","34","40","4","10","8","14","0","11","22","36","0","11","242","120","0","11","45","43","16","25","101","69","80","80","119","101","14","21","0","11","26","39","47","48","32","43"
"1400000US10003013400","Census Tract 134, New Castle County, Delaware","1837","181","98","67","587","146","500","105","477","117","175","67","1600","164","40","37","481","116","451","114","454","116","174","67","233","148","57","69","104","80","49","45","23","39","0","11","0","11","0","11","0","11","0","11","0","11","0","11","3","5","1","4","2","5","0","11","0","11","0","11","1","3","0","11","0","11","0","11","0","11","1","3"
"1400000US10003013613","Census Tract 136.13, New Castle County, Delaware","3923","197","148","98","818","269","755","184","1223","266","979","239","3749","216","148","98","745","249","738","180","1174","255","944","257","134","127","0","16","49","59","1","3","49","55","35","53","0","16","0","16","0","16","0","16","0","16","0","16","16","27","0","16","0","16","16","27","0","16","0","16","24","41","0","16","24","41","0","16","0","16","0","16"
"1400000US10003014402","Census Tract 144.02, New Castle County, Delaware","2173","246","52","42","372","133","517","167","548","145","684","160","1760","223","33","27","286","102","465","156","414","117","562","161","190","117","1","3","86","97","0","11","15","17","88","50","23","33","0","11","0","11","23","33","0","11","0","11","97","60","0","11","0","11","29","35","68","43","0","11","103","87","18","29","0","11","0","11","51","56","34","34"
"1400000US10003014501","Census Tract 145.01, New Castle County, Delaware","650","143","35","25","179","62","106","49","186","85","144","51","466","131","35","25","144","64","74","46","114","66","99","52","159","103","0","11","32","30","24","21","63","61","40","24","3","5","0","11","3","5","0","11","0","11","0","11","14","8","0","11","0","11","0","11","9","2","5","8","8","16","0","11","0","11","8","16","0","11","0","11"
"1400000US10003014805","Census Tract 148.05, New Castle County, Delaware","6758","327","230","121","1574","354","1710","304","1753","249","1491","271","6578","371","217","118","1528","343","1693","308","1691","247","1449","267","161","116","13","21","27","40","17","29","62","70","42","51","0","18","0","18","0","18","0","18","0","18","0","18","19","33","0","18","19","33","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18"
"1400000US10003016100","Census Tract 161, New Castle County, Delaware","1572","195","51","33","579","120","428","93","233","77","281","97","1458","189","51","33","537","112","396","88","204","74","270","96","71","40","0","11","22","19","20","21","29","24","0","11","10","17","0","11","5","9","0","11","0","11","5","9","24","21","0","11","6","9","12","17","0","11","6","9","9","13","0","11","9","13","0","11","0","11","0","11"
"1400000US10003016302","Census Tract 163.02, New Castle County, Delaware","5121","391","307","242","1987","381","1555","306","822","271","450","164","4648","431","306","242","1692","304","1399","307","813","270","438","170","370","255","0","16","232","186","120","107","6","14","12","18","3","7","0","16","0","16","0","16","3","7","0","16","50","62","1","2","13","21","36","58","0","16","0","16","50","70","0","16","50","70","0","16","0","16","0","16"
"1400000US10003016801","Census Tract 168.01, New Castle County, Delaware","4398","371","313","110","1793","352","1016","225","726","144","550","135","4059","392","254","104","1669","354","972","225","718","144","446","123","171","80","36","31","86","61","22","29","3","5","24","25","0","16","0","16","0","16","0","16","0","16","0","16","143","96","23","27","13","18","22","25","5","9","80","74","25","28","0","16","25","28","0","16","0","16","0","16"
